CustomerID,CustomerType,Stage,Tenure,Plan,PaymentMethod,MonthlyCharges,TotalCharges,Churn Status
PR000054,Entrepreneur,1,2,Month-to-Month,Debit Card,1999,3998,Yes
INF00060,Influencer,1,9,Annual,Credit Card,1799,16191,Yes
INF00061,Influencer,1,12,Half Yearly,Debit Card,1899,22788,Yes
STA00045,Startup,0,16,Month-to-Month,Credit Card,1999,31984,No
INF00062,Influencer,0,4,Month-to-Month,Credit Card,1999,7996,Yes
PR000055,Entrepreneur,0,2,Month-to-Month,Debit Card,1999,3998,Yes
PR000056,Entrepreneur,0,17,Month-to-Month,Credit Card,1999,33983,Yes
PR000057,Entrepreneur,0,9,Half Yearly,Debit Card,1899,17091,No
STA00046,Startup,0,3,Half Yearly,UPI,1899,5697,No
PR000058,Entrepreneur,1,10,Half Yearly,UPI,1899,18990,No
PR000059,Entrepreneur,1,24,Annual,Debit Card,1799,43176,No
STA00047,Startup,1,3,Half Yearly,Debit Card,1899,5697,No
STA00048,Startup,1,2,Month-to-Month,UPI,1999,3998,No
STA00049,Startup,0,7,Half Yearly,UPI,1899,13293,No
STA00050,Startup,1,7,Annual,UPI,1799,12593,No
PR000060,Entrepreneur,0,10,Month-to-Month,Debit Card,1999,19990,Yes
PR000061,Entrepreneur,0,11,Annual,Credit Card,1799,19789,No
PR000062,Entrepreneur,1,1,Half Yearly,Credit Card,1899,1899,Yes
PR000063,Entrepreneur,1,17,Annual,UPI,1799,30583,Yes
INF00063,Influencer,0,6,Half Yearly,Debit Card,1899,11394,Yes
STA00051,Startup,0,3,Half Yearly,Debit Card,1899,5697,No
INF00064,Influencer,1,4,Half Yearly,Credit Card,1899,7596,Yes
INF00065,Influencer,0,12,Month-to-Month,Debit Card,1999,23988,Yes
PR000064,Entrepreneur,1,5,Annual,Credit Card,1799,8995,No
STA00052,Startup,0,7,Half Yearly,Credit Card,1899,13293,No
INF00066,Influencer,0,5,Annual,UPI,1799,8995,Yes
STA00053,Startup,1,3,Half Yearly,UPI,1899,5697,No
INF00067,Influencer,0,1,Month-to-Month,Credit Card,1999,1999,Yes
PR000065,Entrepreneur,1,16,Month-to-Month,UPI,1999,31984,Yes
INF00068,Influencer,1,4,Half Yearly,Credit Card,1899,7596,Yes
INF00069,Influencer,1,4,Month-to-Month,Credit Card,1999,7996,Yes
INF00070,Influencer,0,14,Month-to-Month,Credit Card,1999,27986,Yes
PR000066,Entrepreneur,0,6,Half Yearly,Debit Card,1899,11394,No
STA00054,Startup,1,15,Annual,Credit Card,1799,26985,No
INF00071,Influencer,0,3,Month-to-Month,Debit Card,1999,5997,Yes
STA00055,Startup,0,6,Month-to-Month,Debit Card,1999,11994,No
STA00056,Startup,0,4,Annual,Credit Card,1799,7196,No
PR000067,Entrepreneur,0,13,Annual,Credit Card,1799,23387,No
STA00057,Startup,0,7,Month-to-Month,UPI,1999,13993,No
STA00058,Startup,1,6,Annual,Credit Card,1799,10794,Yes
INF00072,Influencer,0,22,Annual,UPI,1799,39578,No
STA00059,Startup,0,5,Half Yearly,UPI,1899,9495,No
STA00060,Startup,0,2,Half Yearly,UPI,1899,3798,No
STA00061,Startup,1,3,Half Yearly,UPI,1899,5697,No
STA00062,Startup,1,5,Annual,Debit Card,1799,8995,No
PR000068,Entrepreneur,0,7,Half Yearly,Credit Card,1899,13293,No
INF00073,Influencer,1,5,Half Yearly,Credit Card,1899,9495,Yes
STA00063,Startup,0,21,Annual,Debit Card,1799,37779,No
PR000069,Entrepreneur,0,3,Half Yearly,UPI,1899,5697,No
STA00064,Startup,0,7,Half Yearly,UPI,1899,13293,No
STA00065,Startup,0,15,Month-to-Month,UPI,1999,29985,Yes
STA00066,Startup,0,16,Annual,Debit Card,1799,28784,No
PR000070,Entrepreneur,0,18,Annual,Credit Card,1799,32382,No
INF00074,Influencer,1,4,Annual,Credit Card,1799,7196,Yes
INF00075,Influencer,0,10,Annual,Debit Card,1799,17990,No
STA00067,Startup,1,7,Annual,Debit Card,1799,12593,No
STA00068,Startup,0,7,Half Yearly,Credit Card,1899,13293,No
PR000071,Entrepreneur,0,2,Month-to-Month,UPI,1999,3998,No
STA00069,Startup,0,16,Half Yearly,Debit Card,1899,30384,No
STA00070,Startup,0,6,Annual,UPI,1799,10794,No
PR000072,Entrepreneur,0,5,Month-to-Month,Debit Card,1999,9995,No
INF00076,Influencer,0,3,Half Yearly,Debit Card,1899,5697,Yes
INF00077,Influencer,1,3,Month-to-Month,Credit Card,1999,5997,Yes
STA00071,Startup,1,10,Annual,UPI,1799,17990,No
PR000073,Entrepreneur,0,1,Half Yearly,Debit Card,1899,1899,Yes
STA00072,Startup,0,8,Half Yearly,Debit Card,1899,15192,No
PR000074,Entrepreneur,0,3,Month-to-Month,Debit Card,1999,5997,Yes
STA00073,Startup,0,7,Half Yearly,Debit Card,1899,13293,No
STA00074,Startup,1,1,Month-to-Month,Debit Card,1999,1999,No
PR000075,Entrepreneur,1,22,Annual,Credit Card,1799,39578,No
PR000076,Entrepreneur,0,16,Annual,Credit Card,1799,28784,No
INF00078,Influencer,0,7,Half Yearly,UPI,1899,13293,Yes
PR000077,Entrepreneur,0,3,Half Yearly,Debit Card,1899,5697,No
INF00079,Influencer,1,11,Month-to-Month,UPI,1999,21989,Yes
STA00075,Startup,1,8,Month-to-Month,UPI,1999,15992,No
PR000078,Entrepreneur,1,3,Half Yearly,Debit Card,1899,5697,No
STA00076,Startup,1,13,Annual,Debit Card,1799,23387,No
PR000079,Entrepreneur,0,14,Half Yearly,UPI,1899,26586,No
INF00080,Influencer,1,6,Month-to-Month,Credit Card,1999,11994,Yes
STA00077,Startup,0,9,Annual,Debit Card,1799,16191,No
STA00078,Startup,0,21,Month-to-Month,Debit Card,1999,41979,No
PR000080,Entrepreneur,1,14,Month-to-Month,Debit Card,1999,27986,Yes
PR000081,Entrepreneur,0,24,Annual,Credit Card,1799,43176,No
INF00081,Influencer,1,7,Half Yearly,Credit Card,1899,13293,Yes
STA00079,Startup,0,3,Half Yearly,Debit Card,1899,5697,No
PR000082,Entrepreneur,1,7,Annual,Credit Card,1799,12593,No
PR000083,Entrepreneur,1,1,Month-to-Month,Credit Card,1999,1999,Yes
PR000084,Entrepreneur,0,6,Half Yearly,Credit Card,1899,11394,No
PR000085,Entrepreneur,0,2,Month-to-Month,UPI,1999,3998,Yes
INF00082,Influencer,0,5,Month-to-Month,Debit Card,1999,9995,No
INF00083,Influencer,0,10,Annual,UPI,1799,17990,No
PR000086,Entrepreneur,0,4,Half Yearly,Debit Card,1899,7596,No
STA00080,Startup,1,5,Half Yearly,Debit Card,1899,9495,No
INF00084,Influencer,1,3,Half Yearly,Credit Card,1899,5697,Yes
INF00085,Influencer,1,11,Month-to-Month,UPI,1999,21989,Yes
PR000087,Entrepreneur,0,1,Month-to-Month,Debit Card,1999,1999,Yes
STA00081,Startup,1,8,Annual,Credit Card,1799,14392,No
INF00086,Influencer,0,4,Annual,Debit Card,1799,7196,Yes
STA00082,Startup,1,1,Month-to-Month,Credit Card,1999,1999,No
PR000088,Entrepreneur,0,9,Half Yearly,Credit Card,1899,17091,No
INF00087,Influencer,1,6,Annual,UPI,1799,10794,Yes
INF00088,Influencer,1,8,Half Yearly,Credit Card,1899,15192,Yes
INF00089,Influencer,1,5,Half Yearly,Debit Card,1899,9495,Yes
INF00090,Influencer,1,4,Half Yearly,Debit Card,1899,7596,Yes
PR000089,Entrepreneur,0,16,Half Yearly,Credit Card,1899,30384,No
INF00091,Influencer,1,21,Half Yearly,Debit Card,1899,39879,No
PR000090,Entrepreneur,0,9,Annual,UPI,1799,16191,No
INF00092,Influencer,0,7,Annual,Debit Card,1799,12593,Yes
INF00093,Influencer,1,13,Half Yearly,UPI,1899,24687,No
STA00083,Startup,1,11,Annual,UPI,1799,19789,No
PR000091,Entrepreneur,0,11,Annual,Credit Card,1799,19789,No
STA00084,Startup,1,9,Annual,Credit Card,1799,16191,No
PR000092,Entrepreneur,0,7,Month-to-Month,Credit Card,1999,13993,No
INF00094,Influencer,1,10,Month-to-Month,Credit Card,1999,19990,Yes
INF00095,Influencer,1,2,Month-to-Month,UPI,1999,3998,Yes
PR000093,Entrepreneur,1,2,Month-to-Month,UPI,1999,3998,Yes
STA00085,Startup,1,6,Month-to-Month,Debit Card,1999,11994,No
PR000094,Entrepreneur,1,23,Month-to-Month,UPI,1999,45977,No
STA00086,Startup,0,13,Month-to-Month,Debit Card,1999,25987,No
PR000095,Entrepreneur,0,2,Half Yearly,UPI,1899,3798,Yes
INF00096,Influencer,1,5,Annual,Debit Card,1799,8995,Yes
STA00087,Startup,1,5,Half Yearly,Credit Card,1899,9495,No
STA00088,Startup,0,1,Annual,Credit Card,1799,1799,No
PR000096,Entrepreneur,0,5,Half Yearly,Debit Card,1899,9495,No
PR000097,Entrepreneur,1,5,Annual,Credit Card,1799,8995,No
PR000098,Entrepreneur,1,22,Month-to-Month,Debit Card,1999,43978,No
INF00097,Influencer,1,16,Annual,Credit Card,1799,28784,Yes
PR000099,Entrepreneur,0,14,Month-to-Month,UPI,1999,27986,Yes
PR000100,Entrepreneur,0,9,Annual,Debit Card,1799,16191,No
STA00089,Startup,0,4,Half Yearly,UPI,1899,7596,No
STA00090,Startup,0,15,Annual,UPI,1799,26985,No
PR000101,Entrepreneur,1,7,Annual,UPI,1799,12593,No
PR000102,Entrepreneur,0,7,Half Yearly,Credit Card,1899,13293,No
PR000103,Entrepreneur,1,4,Month-to-Month,UPI,1999,7996,No
STA00091,Startup,1,2,Month-to-Month,Credit Card,1999,3998,No
PR000104,Entrepreneur,0,20,Half Yearly,Credit Card,1899,37980,No
PR000105,Entrepreneur,0,9,Half Yearly,UPI,1899,17091,No
STA00092,Startup,0,16,Annual,Debit Card,1799,28784,No
INF00098,Influencer,0,4,Annual,UPI,1799,7196,Yes
PR000106,Entrepreneur,1,4,Month-to-Month,Credit Card,1999,7996,No
INF00099,Influencer,1,4,Month-to-Month,Debit Card,1999,7996,Yes
PR000107,Entrepreneur,0,10,Half Yearly,Credit Card,1899,18990,No
INF00100,Influencer,1,15,Annual,Debit Card,1799,26985,No
STA00093,Startup,0,1,Annual,UPI,1799,1799,No
STA00094,Startup,0,12,Annual,Debit Card,1799,21588,No
STA00095,Startup,1,16,Annual,Credit Card,1799,28784,No
PR000108,Entrepreneur,0,1,Half Yearly,Credit Card,1899,1899,Yes
INF00101,Influencer,1,10,Half Yearly,Credit Card,1899,18990,No
PR000109,Entrepreneur,0,3,Annual,Credit Card,1799,5397,No
PR000110,Entrepreneur,0,9,Month-to-Month,UPI,1999,17991,No
INF00102,Influencer,0,4,Month-to-Month,Debit Card,1999,7996,Yes
PR000111,Entrepreneur,0,6,Half Yearly,UPI,1899,11394,No
PR000112,Entrepreneur,0,9,Annual,Debit Card,1799,16191,No
INF00103,Influencer,0,8,Half Yearly,UPI,1899,15192,Yes
INF00104,Influencer,0,8,Half Yearly,UPI,1899,15192,Yes
INF00105,Influencer,1,4,Month-to-Month,Debit Card,1999,7996,Yes
INF00106,Influencer,0,19,Annual,Debit Card,1799,34181,No
STA00096,Startup,1,2,Month-to-Month,Debit Card,1999,3998,No
PR000113,Entrepreneur,1,1,Annual,UPI,1799,1799,Yes
STA00097,Startup,1,4,Half Yearly,Credit Card,1899,7596,No
PR000114,Entrepreneur,1,5,Month-to-Month,Debit Card,1999,9995,No
STA00098,Startup,0,21,Annual,Credit Card,1799,37779,No
STA00099,Startup,1,10,Annual,Credit Card,1799,17990,No
PR000115,Entrepreneur,0,9,Half Yearly,Debit Card,1899,17091,No
INF00107,Influencer,0,11,Half Yearly,UPI,1899,20889,No
INF00108,Influencer,0,5,Half Yearly,Debit Card,1899,9495,Yes
PR000116,Entrepreneur,0,2,Month-to-Month,UPI,1999,3998,Yes
INF00109,Influencer,1,7,Half Yearly,Credit Card,1899,13293,Yes
PR000117,Entrepreneur,0,17,Month-to-Month,UPI,1999,33983,Yes
STA00100,Startup,1,1,Month-to-Month,Debit Card,1999,1999,No
INF00110,Influencer,0,8,Annual,UPI,1799,14392,Yes
PR000118,Entrepreneur,0,12,Annual,Debit Card,1799,21588,No
PR000119,Entrepreneur,0,1,Annual,Credit Card,1799,1799,Yes
INF00111,Influencer,0,2,Half Yearly,Credit Card,1899,3798,No
PR000120,Entrepreneur,1,8,Month-to-Month,UPI,1999,15992,No
STA00101,Startup,1,7,Annual,Debit Card,1799,12593,No
PR000121,Entrepreneur,1,7,Half Yearly,Debit Card,1899,13293,No
PR000122,Entrepreneur,1,7,Half Yearly,UPI,1899,13293,No
STA00102,Startup,0,6,Half Yearly,Debit Card,1899,11394,No
STA00103,Startup,0,2,Month-to-Month,Debit Card,1999,3998,No
PR000123,Entrepreneur,0,1,Annual,UPI,1799,1799,Yes
INF00112,Influencer,0,9,Month-to-Month,Credit Card,1999,17991,Yes
PR000124,Entrepreneur,1,4,Half Yearly,UPI,1899,7596,Yes
INF00113,Influencer,1,4,Month-to-Month,Credit Card,1999,7996,Yes
INF00114,Influencer,0,5,Month-to-Month,UPI,1999,9995,Yes
INF00115,Influencer,0,4,Half Yearly,Debit Card,1899,7596,Yes
INF00116,Influencer,1,4,Month-to-Month,Credit Card,1999,7996,Yes
INF00117,Influencer,0,5,Annual,Debit Card,1799,8995,Yes
PR000125,Entrepreneur,1,10,Half Yearly,UPI,1899,18990,No
STA00104,Startup,0,16,Half Yearly,Credit Card,1899,30384,No
STA00105,Startup,1,5,Annual,Credit Card,1799,8995,No
STA00106,Startup,1,14,Month-to-Month,UPI,1999,27986,No
PR000126,Entrepreneur,0,6,Annual,Debit Card,1799,10794,No
INF00118,Influencer,1,5,Half Yearly,UPI,1899,9495,Yes
PR000127,Entrepreneur,0,3,Annual,Debit Card,1799,5397,No
STA00107,Startup,1,6,Annual,Debit Card,1799,10794,No
INF00119,Influencer,0,24,Annual,Debit Card,1799,43176,No
INF00120,Influencer,0,4,Month-to-Month,Credit Card,1999,7996,No
PR000128,Entrepreneur,0,3,Month-to-Month,Credit Card,1999,5997,Yes
STA00108,Startup,0,6,Half Yearly,Debit Card,1899,11394,No
STA00109,Startup,0,8,Annual,Credit Card,1799,14392,No
STA00110,Startup,0,6,Half Yearly,Credit Card,1899,11394,No
INF00121,Influencer,0,3,Annual,UPI,1799,5397,Yes
STA00111,Startup,0,7,Month-to-Month,UPI,1999,13993,No
INF00122,Influencer,0,4,Month-to-Month,Credit Card,1999,7996,Yes
INF00123,Influencer,1,4,Annual,Debit Card,1799,7196,Yes
STA00112,Startup,0,9,Annual,UPI,1799,16191,No
INF00124,Influencer,1,5,Month-to-Month,Credit Card,1999,9995,No
PR000129,Entrepreneur,1,11,Half Yearly,Credit Card,1899,20889,Yes
PR000130,Entrepreneur,1,7,Month-to-Month,Debit Card,1999,13993,Yes
INF00125,Influencer,0,5,Month-to-Month,UPI,1999,9995,Yes
INF00126,Influencer,0,6,Half Yearly,Debit Card,1899,11394,Yes
PR000131,Entrepreneur,0,3,Month-to-Month,Credit Card,1999,5997,Yes
STA00113,Startup,0,7,Half Yearly,UPI,1899,13293,No
STA00114,Startup,0,4,Half Yearly,Debit Card,1899,7596,No
STA00115,Startup,0,3,Half Yearly,Debit Card,1899,5697,No
PR000132,Entrepreneur,0,3,Annual,Debit Card,1799,5397,No
INF00127,Influencer,0,21,Annual,Debit Card,1799,37779,No
INF00128,Influencer,0,14,Half Yearly,Credit Card,1899,26586,No
PR000133,Entrepreneur,1,7,Half Yearly,Debit Card,1899,13293,No
STA00116,Startup,0,5,Half Yearly,UPI,1899,9495,No
INF00129,Influencer,1,8,Half Yearly,Credit Card,1899,15192,Yes
INF00130,Influencer,0,24,Annual,Debit Card,1799,43176,No
STA00117,Startup,0,3,Month-to-Month,Debit Card,1999,5997,No
INF00131,Influencer,1,6,Half Yearly,Debit Card,1899,11394,Yes
PR000134,Entrepreneur,1,2,Annual,Debit Card,1799,3598,Yes
INF00132,Influencer,1,5,Half Yearly,Debit Card,1899,9495,Yes
PR000135,Entrepreneur,0,1,Month-to-Month,UPI,1999,1999,Yes
INF00133,Influencer,0,21,Annual,Debit Card,1799,37779,No
PR000136,Entrepreneur,0,21,Annual,Credit Card,1799,37779,No
PR000137,Entrepreneur,1,2,Month-to-Month,UPI,1999,3998,Yes
STA00118,Startup,1,9,Month-to-Month,Debit Card,1999,17991,No
STA00119,Startup,0,12,Annual,UPI,1799,21588,No
INF00134,Influencer,0,11,Half Yearly,Credit Card,1899,20889,No
INF00135,Influencer,1,2,Annual,UPI,1799,3598,Yes
INF00136,Influencer,0,12,Half Yearly,UPI,1899,22788,No
INF00137,Influencer,1,6,Half Yearly,UPI,1899,11394,Yes
